"BehaviorSpace results (NetLogo 6.1.0)"
"mussels.nlogo"
"experiment"
"12/08/2019 23:22:58:886 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-39","39","-39","39"
"[run number]","larvae-death-rate","bass-restock-x","initial-bass-pop","bass-restock-y","initial-mussel-pop","restock","attach-rate","[step]","avg-mussel-population"
"4","0","-2","6","12","20","true","0","424","96.65"
"7","0","-2","6","12","20","true","0","424","114.725"
"6","0","-2","6","12","20","true","0","424","12.6625"
"8","0","-2","6","12","20","true","0","424","280.6875"
"5","0","-2","6","12","20","true","0","424","318.7875"
"2","0","-2","6","12","20","true","0","424","295.6625"
"1","0","-2","6","12","20","true","0","424","7.875"
"3","0","-2","6","12","20","true","0","424","502.4125"
"10","0","-2","6","12","20","true","0","424","56.275"
"9","0","-2","6","12","20","true","0","424","140.75"
